"","time","actor1","actor2"
"1",1e-04,"STATE.ST","KAM"
"2",20.8333333333333,"EVERGREEN","MC.FORCE"
"3",43.25,"CUATRO.FLATS","TMC"
"4",92.9166666666667,"BREED.ST","TINY.BOYS"
"5",244.333333333333,"TINY.BOYS","STATE.ST"
"6",266,"X8TH.STREET","VNE"
"7",379.5,"KAM","X18TH.STREET"
"8",645.916666666667,"OPAL.ST","VNE"
"9",738.833333333333,"PRIMERA.FLATS","CLARENCE.ST"
"10",748.75,"EASTLAKE","LINCOLN.HEIGHTS"
"11",887.5,"PRIMERA.FLATS","TMC"
"12",888,"BREED.ST","CUATRO.FLATS"
"13",892,"BREED.ST","CUATRO.FLATS"
"14",914,"VNE","X8TH.STREET"
"15",917.5,"CUATRO.FLATS","TMC"
"16",1274.25,"BREED.ST","TINY.BOYS"
"17",1280.91666666667,"TINY.DUKES","BREED.ST"
"18",1290,"VNE","X8TH.STREET"
"19",1298.33333333333,"STATE.ST","KAM"
"20",1319.83333333333,"ROSE.HILLS","X18TH.STREET"
"21",1344.5,"CLOVER","EASTLAKE"
"22",1346.5,"ROSE.HILLS","X18TH.STREET"
"23",1347.5,"CLARENCE.ST","PRIMERA.FLATS"
"24",1418.88333333333,"CLARENCE.ST","PRIMERA.FLATS"
"25",1420.5,"VNE","X8TH.STREET"
"26",1493.25,"BREED.ST","TINY.BOYS"
"27",1562.41666666667,"CLARENCE.ST","PRIMERA.FLATS"
"28",1590.25,"CLARENCE.ST","PRIMERA.FLATS"
"29",1605.25,"TINY.DUKES","TMC"
"30",1634.25,"LOWELL","LOCKE"
"31",1696,"LOWELL","LOCKE"
"32",1746.33333333333,"TMC","CUATRO.FLATS"
"33",1755.66666666667,"STATE.ST","TINY.BOYS"
"34",1769.75,"TMC","CUATRO.FLATS"
"36",1868,"LINCOLN.HEIGHTS","EASTLAKE"
"37",1895.66666666667,"LOWELL","LOCKE"
"38",1916.75,"CUATRO.FLATS","TMC"
"39",1923,"METRO.13","CLOVER"
"40",1950.16666666667,"STATE.ST","KAM"
"41",1965.33333333333,"TINY.DUKES","MC.FORCE"
"42",2021.75,"LOWELL","LOCKE"
"43",2170.5,"X8TH.STREET","TMC"
"44",2184,"STATE.ST","TINY.BOYS"
"45",2197,"STATE.ST","TINY.BOYS"
"46",2313.08333333333,"TMC","LOCKE"
"47",2359.33333333333,"LOWELL","LOCKE"
"48",2396.5,"TMC","CUATRO.FLATS"
