"","actor1","actor2"
"1",138,59
"2",138,15
"3",138,15
"4",138,109
"5",138,45
"6",138,113
"7",138,59
"8",138,59
"9",138,49
"10",138,59
"11",138,59
"12",138,49
"13",138,59
"14",138,59
"15",15,138
"16",138,58
"17",45,138
"18",138,53
"19",138,59
"20",138,45
"21",138,59
"22",138,49
"23",138,130
"24",138,59
"25",138,113
"26",138,59
"27",138,113
"28",138,95
"29",138,120
"30",138,59
"31",138,120
"32",138,109
"33",138,49
"34",138,120
"35",138,120
"36",138,120
"37",138,120
"38",138,120
"39",138,120
"40",138,120
"41",138,120
"42",138,120
"43",138,120
"44",138,120
"45",138,59
"46",138,120
"47",138,120
"48",138,120
"49",138,59
"50",138,59
"51",138,59
"52",138,58
"53",138,59
"54",138,59
"55",138,59
"56",138,109
"57",138,59
"58",138,109
"59",138,53
"60",138,120
"61",138,130
"62",138,130
"63",138,130
"64",53,109
"65",138,49
"66",109,45
"67",138,59
"68",120,138
"69",53,58
"70",120,138
"71",59,49
"72",138,120
"73",58,53
"74",120,49
"75",45,138
"76",91,130
"77",138,45
"78",138,130
"79",59,138
"80",120,138
"81",59,138
"82",26,58
"83",138,59
"84",26,58
"85",59,138
"86",59,138
"87",59,138
"88",120,138
"89",120,49
"90",120,49
"91",138,120
"92",138,109
"93",59,138
"94",138,130
"95",120,138
"96",109,138
"97",138,130
"98",59,138
"99",138,59
"100",138,65
"101",65,138
"102",109,53
"103",59,49
"104",59,138
"105",120,59
"106",65,138
"107",120,49
"108",59,138
"109",59,138
"110",59,49
"111",59,135
"112",53,58
"113",59,138
"114",59,138
"115",59,130
"116",59,4
"117",59,138
"118",120,49
"119",120,49
"120",138,109
"121",59,138
"122",59,138
"123",138,4
"124",138,49
"125",138,49
"126",59,130
"127",59,130
"128",59,138
"129",59,138
"130",130,26
"131",130,26
"132",65,138
"133",65,138
"134",59,130
"135",65,138
"136",138,120
"137",120,138
"138",138,65
"139",91,117
"140",120,130
"141",120,130
"142",91,117
"143",59,138
"144",113,82
"145",138,65
"146",138,65
"147",109,98
"148",138,45
"149",59,138
"150",26,58
"151",91,117
"152",120,130
"153",91,117
"154",26,58
"155",120,138
"156",138,65
"157",138,65
"158",138,65
"159",138,65
"160",45,65
"161",138,4
"162",91,117
"163",138,49
"164",91,117
"165",91,117
"166",91,117
"167",138,65
"168",120,49
"169",138,49
